term,count
spread covid19,1805
slow spread,1794
identify risk,1793
help slow,1793
risk cases,1793
cases sooner,1793
sooner selfreporting,1793
covid19 identify,1793
selfreporting symptoms,1792
symptoms daily,1792
daily even,1792
covid19 cases,63
new covid19,62
coronavirus covid19,59
covid19 positive,56
positive covid19,50
madhya pradesh,49
positive cases,45
total number,33
covid19 killing,32
diabetes patients,32
patients alarming,32
usa covid19,32
killing diabetes,32
alarming rates,32
rates coronavirus,32
tested positive,31
covid19 tests,31
number cases,30
global pandemic,30
first time,30
single day,29
pandemic news,29
chief minister,28
day 420898,27
time record,27
covid19 preprint,27
tests conducted,27
conducted single,27
420000 covid19,27
record number,27
number 420000,27
covid19 rapid,26
shivraj singh,25
rapid test,25
singh chouhan,25
active cases,25
technology covid19,24
pradesh cm,24
tests positive,24
novel technology,23
covid19 testing,23
kharagpur researchers,23
iit kharagpur,23
claim developed,22
cases reported,22
researchers claim,22
urgent review,21
review covid19,21
undertake urgent,21
cm shivraj,21
coronavirus testing,21
mirren pledged,21
ultraportable devic,21
fiasco st,21
st mirren,21
pledged undertake,21
developed novel,21
testing proced,21
testing fiasco,21
test ultraportable,21
uddhav thackeray,20
covid19 1520,18
father mrgkreddy,18
mrgkreddy tested,18
days back,18
news coronavirus,18
delhi today,18
including 1825,18
total covid19,18
1520 days,18
taking total,18
8232 including,18
6314 recoveries,18
back vishal,18
stand 8232,18
1825 active,18
cases 6314,18
actor father,18
new cases,16
satisfactory prepared,16
situation satisfactory,16
positivity ratio,16
ratio delhi,16
cent situation,16
today per,16
per cent,16
lockdown imposed,16
deadly virus,16
virus covid19,15
country become,15
future state,15
become victims,15
victims deadly,15
state country,15
students future,15
covid19 covid19,15
comprehensive townwide,14
seven days,14
police station,14
imposed kalimpong,14
townwide lockdown,14
kalimpong municipality,14
days starting,14
municipality seven,14
thackeray says,13
covid19 vaccine,13
complete lifting,13
ids commuters,13
26 july,13
starting 26,13
covid19 patients,13
covid19 pandemic,13
pradesh chief,13
lifting lockdown,13
died covid19,12
favour complete,12
deaths reported,12
maharashtra says,12
lockdown maharashtra,12
kids childern,12
chouhan tests,12
covid19 kids,12
cm uddhav,12
check ids,12
says favour,12
says needs,12
covid19 an,12
telling eat,11
himachal pradesh,11
10day lockdown,11
help many,11
government telling,11
go restaurant,11
scared go,11
following covid19,11
tested covid19,11
police office,11
sealed accused,11
superintendent police,11
new te,11
eat help,11
many still,11
barotiwala sealed,11
americans died,11
restaurant new,11
despite government,11
office baddi,11
baddi police,11
station barotiwala,11
still scared,11
quarantined per,10
rise in,10
view rise,10
police check,10
maharashtrapolice stand,10
pradesh superintendent,10
pradesh police,10
per advice,10
says tested,10
today bhopal,10
secondpeak secondwave,10
lockdown begins,10
worldwide abo,10
231 deaths,10
guidelines quarantined,10
bhopal view,10
deaths worldwide,10
24 hours,10
cases maharashtra,10
cases maharashtrapolice,10
begins today,10
chouhan says,10
commuters 10day,10
covid19 guidelines,10
covid19 coronavirus,10
covid19 231,10
amid covid19,9
support redbubble,9
