term,count
slow spread covid19,1794
spread covid19 identify,1793
cases sooner selfreporting,1793
covid19 identify risk,1793
identify risk cases,1793
risk cases sooner,1793
help slow spread,1793
sooner selfreporting symptoms,1792
symptoms daily even,1792
selfreporting symptoms daily,1792
covid19 positive cases,41
diabetes patients alarming,32
covid19 killing diabetes,32
killing diabetes patients,32
rates coronavirus covid19,32
alarming rates coronavirus,32
patients alarming rates,32
usa covid19 killing,32
global pandemic news,29
total number cases,29
tested positive covid19,29
number 420000 covid19,27
single day 420898,27
conducted single day,27
record number 420000,27
tests conducted single,27
covid19 tests conducted,27
first time record,27
420000 covid19 tests,27
time record number,27
shivraj singh chouhan,25
covid19 rapid test,25
madhya pradesh cm,24
technology covid19 rapid,24
novel technology covid19,23
iit kharagpur researchers,23
researchers claim developed,22
test ultraportable devic,21
claim developed novel,21
pradesh cm shivraj,21
developed novel technology,21
st mirren pledged,21
fiasco st mirren,21
mirren pledged undertake,21
covid19 testing proced,21
pledged undertake urgent,21
urgent review covid19,21
kharagpur researchers claim,21
coronavirus testing fiasco,21
cm shivraj singh,21
testing fiasco st,21
rapid test ultraportable,21
review covid19 testing,21
undertake urgent review,21
new covid19 preprint,20
new covid19 cases,20
new covid19 positive,19
cases 6314 recoveries,18
total covid19 positive,18
father mrgkreddy tested,18
covid19 1520 days,18
1520 days back,18
1825 active cases,18
positive covid19 1520,18
including 1825 active,18
8232 including 1825,18
stand 8232 including,18
active cases 6314,18
actor father mrgkreddy,18
pandemic news coronavirus,18
taking total number,18
days back vishal,18
mrgkreddy tested positive,18
delhi today per,16
ratio delhi today,16
positivity ratio delhi,16
cent situation satisfactory,16
per cent situation,16
today per cent,16
situation satisfactory prepared,16
deadly virus covid19,15
future state country,15
victims deadly virus,15
tests positive covid19,15
country become victims,15
become victims deadly,15
students future state,15
state country become,15
kalimpong municipality seven,14
municipality seven days,14
townwide lockdown imposed,14
lockdown imposed kalimpong,14
comprehensive townwide lockdown,14
seven days starting,14
imposed kalimpong municipality,14
starting 26 july,13
days starting 26,13
pradesh chief minister,13
madhya pradesh chief,13
positive cases reported,13
complete lifting lockdown,12
maharashtra says needs,12
favour complete lifting,12
says favour complete,12
uddhav thackeray says,12
cm uddhav thackeray,12
thackeray says favour,12
check ids commuters,12
lockdown maharashtra says,12
singh chouhan tests,12
lifting lockdown maharashtra,12
covid19 kids childern,12
news coronavirus covid19,12
police office baddi,11
help many still,11
police station barotiwala,11
government telling eat,11
office baddi police,11
many still scared,11
go restaurant new,11
restaurant new te,11
telling eat help,11
virus covid19 an,11
eat help many,11
station barotiwala sealed,11
still scared go,11
scared go restaurant,11
superintendent police office,11
