term,count
covid19,2798
cases,2011
help,1819
spread,1813
risk,1811
symptoms,1801
daily,1800
slow,1795
identify,1795
sooner,1793
selfreporting,1793
even,1792
coronavirus,160
positive,132
new,121
amp,84
tests,74
lockdown,73
number,71
patients,68
pandemic,66
testing,65
today,65
pradesh,61
total,58
police,55
tested,54
cm,54
health,53
says,51
madhya,49
first,48
day,48
time,47
global,43
days,43
people,43
deaths,41
india,39
reported,38
back,38
covid,38
government,38
care,38
news,37
state,37
usa,36
per,36
one,35
record,34
rates,34
killing,34
get,33
test,33
conducted,33
alert,33
july,33
diabetes,32
alarming,32
singh,32
minister,31
technology,31
chief,30
420898,29
maharashtra,29
single,29
420000,28
still,28
novel,27
preprint,27
rapid,27
mask,27
hospital,27
researchers,27
active,27
rajasthan,26
support,26
chouhan,25
shivraj,25
vaccine,25
via,25
death,24
review,24
go,23
developed,23
kharagpur,23
like,23
last,23
iit,23
due,23
situation,22
uk,22
pledged,22
claim,22
kids,22
urgent,22
including,22
check,22
virus,22
future,22
rise,21
thackeray,21
could,21
read,21
taking,21
devic,21
masks,21
proced,21
mirren,21
fiasco,21
st,21
the,21
2020,21
undertake,21
ultraportable,21
want,21
country,20
take,20
recoveries,20
need,20
delhi,20
uddhav,20
advice,20
stand,20
amid,20
many,20
8232,19
bhopal,19
students,19
father,19
watch,19
crisis,18
1825,18
in,18
vishal,18
actor,18
mrgkreddy,18
prepared,18
1520,18
6314,18
said,17
imposed,17
bignews,17
karnataka,17
station,17
till,17
24,17
govt,16
victims,16
office,16
starting,16
positivity,16
make,16
trump,16
odisha,16
deadly,16
ratio,16
an,16
satisfactory,16
know,16
school,16
cent,16
fight,15
following,15
plasma,15
children,15
become,15
response,15
around,15
quarantined,15
complete,15
tally,15
needs,15
may,15
rate,15
live,15
jobs,15
bjp,15
wear,15
commuters,15
latest,15
impact,14
man,14
seven,14
see,14
lifting,14
guidelines,14
lakh,14
workers,14
video,14
municipality,14
report,14
world,14
ids,14
shivrajsinghchouhan,14
samples,14
kalimpong,14
died,14
despite,14
comprehensive,14
eat,14
townwide,14
puducherry,13
women,13
another,13
states,13
scared,13
reports,13
americans,13
insurance,13
recovery,13
rises,13
1320,13
view,13
26,13
leader,13
worldwide,13
treatment,13
going,12
life,12
3600,12
sarscov2,12
accused,12
childern,12
favour,12
of,12
must,12
good,12
follow,12
big,12
please,12
sealed,12
bihar,12
social,12
and,12
lab,11
discharged,11
restaurant,11
hours,11
look,11
coronavirusupdates,11
job,11
te,11
confirmed,11
begins,11
superintendent,11
abo,11
data,11
well,11
protect,11
himachal,11
barotiwala,11
10day,11
work,11
baddi,11
cdc,11
telling,11
led,11
doctors,11
secondwave,10
local,10
working,10
recovered,10
cost,10
fresh,10
breaking,10
use,10
england,10
secondpeak,10
139,10
public,10
coronavirusuk,10
maharashtrapolice,10
to,10
toll,10
231,10
inaugurated,10
two,10
face,10
19,10
million,10
ministry,10
557,10
three,9
opposition,9
par,9
would,9
rbandme,9
printed,9
centre,9
church,9
next,9
made,9
medical,9
products,9
148492,9
much,9
call,9
woman,9
president,9
madhyapradesh,9
art,9
doctorsi,9
study,9
stop,9
arrives,9
started,9
highest,9
department,9
far,9
story,9
redbubble,9
spike,9
friday,9
union,9
awesome,9
dombivli,9
healthcare,9
findyourthing,9
since,9
updated,9
across,9
also,8
come,8
pa,8
1030,8
ambulance,8
bank,8
catch,8
saturday,8
center,8
free,8
everyone,8
updates,8
find,8
great,8
join,8
plan,8
dr,8
recent,8
crosses,8
weekend,8
way,8
keep,8
25,8
experts,8
johnson,8
jaipur,8
delegation,8
corona,8
research,8
increase,8
21,8
residence,8
congress,8
illness,8
role,8
party,8
understand,8
planned,7
wearamask,7
think,7
share,7
srinagar,7
schools,7
territ,7
sawai,7
tracker,7
thing,7
return,7
tell,7
10,7
yes,7
learn,7
media,7
deputy,7
market,7
de,7
current,7
assam,7
contact,7
bengaluru,7
best,7
according,7
community,7
better,7
comes,7
boris,7
infections,7
home,7
business,7
includin,7
affected,7
development,7
families,7
25072020,7
past,7
100yearold,7
10am,7
feel,7
1500,7
numbers,7
24013,7
every,7
hospitals,7
months,7
early,7
contract,6
china,6
die,6
changing,6
five,6
th,6
thanks,6
employees,6
ever,6
cities,6
fauci,6
something,6
discusses,6
expert,6
different,6
trials,6
capacity,6
ca,6
wrong,6
12238717,6
1336861,6
1842567,6
without,6
weeks,6
wearing,6
2803,6
662990,6
warning,6
7813,6
admitted,6
ahead,6
almost,6
using,6
andhrapradesh,6
apprenticeships,6
update,6
battle,6
truth,6
getting,6
body,6
borishasfaileduk,6
borisvoteofnoconfidence,6
todays,6
furloug,6
patna,6
increases,6
letter,6
high,6
hit,6
right,6
second,6
indian,6
infection,6
john,6
1000,6
records,6
lack,6
likely,6
hazard,6
me,6
meet,6
protests,6
meeting,6
mental,6
millions,6
negative,6
normal,6
obesity,6
passengers,6
safe,6
education,6
saved,6
dies,5
already,5
ace2,5
viral,5
violence,5
family,5
protest,5
gop,5
air,5
got,5
governing,5
ramaiah,5
end,5
announced,5
